threat,pat,gap_2026,gap_2027,category,gap_magnitude_2027
Phishing,CR,-0.3759291246047486,-0.3326451596186408,OWG,0.3326451596186408
Phishing,DT,-0.37612436880586775,-0.3326310486608168,OWG,0.3326310486608168
Phishing,MA,-0.37574703636683293,-0.3324520259207537,OWG,0.3324520259207537
Phishing,AC,-0.3743526395840692,-0.3307947848051741,OWG,0.3307947848051741
Phishing,MFA,-0.37243260857637084,-0.3304135984362265,OWG,0.3304135984362265
Insider Threat,NLP/LLM,0.27938093601338204,0.31520592540719206,OWG,0.31520592540719206
Phishing,PKI,-0.3221393611789344,-0.29088662056227266,OWG,0.29088662056227266
Botnet,ML/DL,-0.29218537093110597,-0.2696143411904501,OWG,0.2696143411904501
Brute Force Attack,CR,-0.2981103006925192,-0.2505823392842528,OWG,0.2505823392842528
Brute Force Attack,PH,-0.29730388336701996,-0.24968636538820546,OWG,0.24968636538820546
Brute Force Attack,PT,-0.2972704322282106,-0.24958112604561541,OWG,0.24958112604561541
Brute Force Attack,MFA,-0.29461378466414145,-0.24835077810183848,OWG,0.24835077810183848
Malware,HP,-0.2939904051836369,-0.24814565913596817,OWG,0.24814565913596817
Brute Force Attack,DBI,-0.29670241969214106,-0.2481403107414688,OWG,0.2481403107414688
Malware,SMF,-0.29325558938576135,-0.24592880764306493,OWG,0.24592880764306493
Malware,PMT,-0.2931155517118279,-0.24574172437247535,OWG,0.24574172437247535
Malware,CR,-0.2915918770768795,-0.24564676254321868,OWG,0.24564676254321868
Malware,DT,-0.29178712127799866,-0.24563265158539468,OWG,0.24563265158539468
Malware,AW,-0.2923335243174408,-0.24533847476226936,OWG,0.24533847476226936
Malware,PT,-0.2907520086125709,-0.2446455493045813,OWG,0.2446455493045813
Malware,AC,-0.29001539205620014,-0.243796387729752,OWG,0.243796387729752
Malware,BC,-0.28959122661026576,-0.24323115355916317,OWG,0.24323115355916317
Malware,BBD,-0.2898717970762765,-0.24196172693350793,OWG,0.24196172693350793
Malware,CS,-0.2882402753478394,-0.24189698260027978,OWG,0.24189698260027978
Malware,SB,-0.28819604356070294,-0.24150958507116735,OWG,0.24150958507116735
Session Hijacking,IBE,-0.26408292555403057,-0.2411315240399727,OWG,0.2411315240399727
Malware,DM,-0.28769880706405787,-0.24102156498781777,OWG,0.24102156498781777
Malware,AD,-0.2874503082736444,-0.24082206382543825,OWG,0.24082206382543825
Malware,FV,-0.2880663368318004,-0.24075738873431765,OWG,0.24075738873431765
Malware,GT,-0.286579582755166,-0.23930845751434646,OWG,0.23930845751434646
Malware,SA,-0.28620474437050547,-0.2392997595374794,OWG,0.2392997595374794
Malware,DB,-0.28593646127779304,-0.239055747162184,OWG,0.239055747162184
Malware,FIM,-0.2865338283389308,-0.23740505105320486,OWG,0.23740505105320486
Malware,DAS,-0.2842586455488101,-0.236853683910651,OWG,0.236853683910651
Malware,NLP/LLM,0.14636093275654816,0.19044648778416717,OWG,0.19044648778416717
Backdoor,PT,-0.16772270874127793,-0.13087618471218554,OWG,0.13087618471218554
Backdoor,AD,-0.16442100840235147,-0.1270526992330425,OWG,0.1270526992330425
Backdoor,SA,-0.16317544449921254,-0.12553039494508364,OWG,0.12553039494508364
Backdoor,DAS,-0.16122934567751718,-0.12308431931825525,OWG,0.12308431931825525
Insider Threat,LP,-0.16029846722389363,-0.12269350004807607,OWG,0.12269350004807607
Insider Threat,DLD,-0.1612162191450685,-0.12197598159325113,OWG,0.12197598159325113
Insider Threat,CR,-0.15857187382004556,-0.12088732492019377,OWG,0.12088732492019377
Insider Threat,AM,-0.15825660898467922,-0.12045737193303875,OWG,0.12045737193303875
Insider Threat,PT,-0.15773200535573695,-0.11988611168155643,OWG,0.11988611168155643
Insider Threat,AC,-0.15699538879936625,-0.11903695010672714,OWG,0.11903695010672714
Insider Threat,AT,-0.15454888856407373,-0.1162605757614184,OWG,0.1162605757614184
